family,clade,species,n,anchor_groups,mode,family_joins_tree_at_Myr,source_or_basis,confidence,matters_for_PD,reviewer_suggested_age_or_anchor,reviewer_notes
Rhizopodaceae,fungus,"Rhizopus oligosporus, Rhizopus oryzae",2,Saccharomycetaceae + Agaricaceae,stem @900,900,"LCA Mucoromycota+Dikarya 1,114-701 Ma (fungal timetree, Nat Ecol Evol 2025); Mucoromycota crown >617 Ma (Fungal Diversity 2023)",medium,high,,
Mucoraceae,fungus,"Actinomucor elegans, Mucor racemosus",2,Saccharomycetaceae + Agaricaceae,stem @900,900,as Rhizopodaceae,medium,high,,
Prasiolaceae,green,Prasiola japonica,1,Ulvaceae + Chlorellaceae,crown,827,TimeTree node ages only; no literature check,untested,high,,
Rhizostomatidae,animal,"Rhopilema esculentum, Rhopilema hispidum, Nemopilema nomurai",3,Actiniidae,stem @650,650,Anthozoa/Medusozoa split; Park et al. 2012 MPE: Cnidaria crown 741 (686-819) Ma; capped at 650 to stay below TimeTree Cnidaria/Bilateria node (716),medium,high,,
Stomolophidae,animal,Stomolophus meleagris,1,Actiniidae,stem @650,650,as Rhizostomatidae,medium,high,,
Eunicidae,animal,Palola viridis,1,Urechidae + Sipunculidae,crown,631,TimeTree node ages only; no literature check,untested,high,,
Monostromataceae,green,"Monostroma nitidum, Monostroma latissimum",2,Ulvaceae + Caulerpaceae,crown,609,TimeTree node ages only; no literature check,untested,high,,
Liagoraceae,red,Nemalion helminthoides,1,Palmariaceae,stem @500,500,"Nemaliophycidae with Palmariales; subclass split 661 (597-736), Yang et al. 2016; crown not reported, 500 is a guess",low,high,,
Theraphosidae,animal,Cyriopagopus albostriatus,1,Scorpionidae,stem @450,450,Arachnida crown ~450-500 Ma from memory; TimeTree scorpion/crustacean node is 563,low,high,,
Pinnidae,animal,Atrina pectinata,1,Ostreidae + Pectinidae,crown,427,TimeTree node ages only; no literature check,untested,high,,
Pharidae,animal,"Ensis leei, Ensis magnus, Siliqua patula",3,Solenidae + Hiatellidae,crown,407,TimeTree node ages only; no literature check,untested,high,,
Pholadidae,animal,Pholas dactylus,1,Myidae + Hiatellidae,crown,407,TimeTree node ages only; no literature check,untested,high,,
Teredinidae,animal,"Kuphus polythalamius, Bactronophorus thoracites",2,Myidae + Hiatellidae,crown,407,TimeTree node ages only; no literature check,untested,high,,
Gelidiaceae,red,"Gelidium amansii, Gelidium corneum",2,Gigartinaceae + Halymeniaceae,stem @400,400,"early Rhodymeniophycidae; Ahnfeltiophycidae/Rhodymeniophycidae split 508 (442-580) Ma, Yang et al. 2016 Sci Rep; 427 in TimeTree",medium,high,,
Pterocladiaceae,red,Pterocladiella capillacea,1,Gigartinaceae + Halymeniaceae,stem @400,400,as Gelidiaceae (Gelidiales),medium,high,,
Bonnemaisoniaceae,red,"Asparagopsis taxiformis, Asparagopsis armata",2,Gigartinaceae + Halymeniaceae,stem @400,400,as Gelidiaceae,medium,high,,
Mysidae,animal,Neomysis intermedia,1,Penaeidae + Euphausiidae,stem @420,385,Peracarida vs Eucarida near the Malacostraca crown; not searched,low,medium,,
Rhodomelaceae,red,"Osmundea pinnatifida, Vertebrata lanosa, Acanthophora spicifera",3,Gigartinaceae + Halymeniaceae,stem @380,380,"Ceramiales crown 335 (284-395) Ma, Yang et al. 2016",medium,medium,,
Pandalidae,animal,"Pandalus borealis, Pandalus platyceros, Pandalus jordani, Heterocarpus reedi, Plesionika edwardsii",5,Palaemonidae + Crangonidae,crown,336,TimeTree node ages only; no literature check,untested,medium,,
Solenoceridae,animal,Pleoticus muelleri,1,Penaeidae + Aristeidae,crown,325,TimeTree node ages only; no literature check,untested,medium,,
Sergestidae,animal,"Acetes japonicus, Acetes indicus",2,Penaeidae + Aristeidae,crown,325,TimeTree node ages only; no literature check,untested,medium,,
Belostomatidae,animal,Lethocerus indicus,1,Cicadidae,stem @300,300,TimeTree node ages only; no literature check,untested,medium,,
Corixidae,animal,Corisella texcocana,1,Cicadidae,stem @300,300,TimeTree node ages only; no literature check,untested,medium,,
Tessaratomidae,animal,Encosternum delegorguei,1,Cicadidae,stem @300,300,TimeTree node ages only; no literature check,untested,medium,,
Pentatomidae,animal,Euschistus taxcoensis,1,Cicadidae,stem @300,300,TimeTree node ages only; no literature check,untested,medium,,
Aplysiidae,animal,Dolabella auricularia,1,Helicidae,stem @300,290,TimeTree node ages only; no literature check,untested,medium,,
Enoploteuthidae,animal,Watasenia scintillans,1,Loliginidae + Ommastrephidae,crown,274,TimeTree node ages only; no literature check,untested,medium,,
Cantharellaceae,fungus,"Cantharellus cibarius, Cantharellus formosus, Cantharellus cinnabarinus, Cantharellus lateritius, Craterellus cornucopioides, Craterellus tubaeformis",6,Agaricaceae + Gomphaceae + Hericiaceae,crown,263,"joins at TimeTree Agaricomycetes crown (263). Cantharellales crown 184 (144-261), Varga et al. 2019, so stem must be older than 184",medium,medium,,
Hydnaceae,fungus,"Hydnum repandum, Hydnum rufescens",2,Agaricaceae + Gomphaceae + Hericiaceae,crown,263,as Cantharellaceae (Cantharellales),medium,medium,,
Busyconidae,animal,"Busycon carica, Busycotypus canaliculatus",2,Buccinidae + Muricidae,crown,239,TimeTree node ages only; no literature check,untested,medium,,
Munididae,animal,"Munida gregaria, Pleuroncodes monodon",2,Lithodidae + Portunidae,crown,237,TimeTree node ages only; no literature check,untested,medium,,
Chaoboridae,animal,Chaoborus edulis,1,Stratiomyidae,stem @230,230,"Culicomorpha vs Brachycera; Diptera crown ~240-260 Ma from memory (Wiegmann et al. 2011), not verified here",low,medium,,
Morchellaceae,fungus,"Morchella esculenta, Morchella elata, Morchella americana, Morchella importuna",4,Tuberaceae + Pyronemataceae,crown,225,kept at TimeTree Pezizales crown (225). Literature Pezizomycetes crown ranges 248 (Shen 2020) to 441 (Prieto & Wedin 2013); Morchellaceae is close to Tuberaceae so true join is younger than the crown,low: sources disagree,medium,,
Phyllophoraceae,red,Mastocarpus stellatus,1,Gigartinaceae + Cystocloniaceae,crown,209,Gigartinales crown as dated by TimeTree (Gigartinaceae vs Cystocloniaceae),medium,medium,,
Solieriaceae,red,"Kappaphycus alvarezii, Eucheuma denticulatum, Meristotheca papulosa, Solieria robusta, Betaphycus gelatinus",5,Gigartinaceae + Cystocloniaceae,crown,209,as Phyllophoraceae,medium,medium,,
Kallymeniaceae,red,Callophyllis variegata,1,Gigartinaceae + Cystocloniaceae,crown,209,as Phyllophoraceae,medium,medium,,
Caulacanthaceae,red,Catenella nipae,1,Gigartinaceae + Cystocloniaceae,crown,209,as Phyllophoraceae,medium,medium,,
Dumontiaceae,red,Dumontia contorta,1,Gigartinaceae + Cystocloniaceae,crown,209,as Phyllophoraceae,medium,medium,,
Cossidae,animal,"Endoxyla leucomochla, Comadia redtenbacheri",2,Bombycidae + Saturniidae,stem @190,190,"basal Ditrysia; from memory of Kawahara et al. 2019, not verified here",low,low,,
Lamnidae,animal,"Isurus oxyrinchus, Lamna nasus",2,Scyliorhinidae,stem @190,190,TimeTree node ages only; no literature check,untested,low,,
Ucididae,animal,Ucides cordatus,1,Gecarcinidae + Portunidae,crown,177,TimeTree node ages only; no literature check,untested,low,,
Vespidae,animal,"Vespa mandarinia, Vespula flaviceps, Polybia occidentalis",3,Apidae + Formicidae,crown,165,TimeTree node ages only; no literature check,untested,low,,
Potamididae,animal,"Tympanotonus fuscatus, Telescopium telescopium",2,Littorinidae + Buccinidae,crown,154,TimeTree node ages only; no literature check,untested,low,,
Triakidae,animal,"Mustelus mustelus, Mustelus canis, Galeorhinus galeus",3,Scyliorhinidae,stem @150,150,TimeTree node ages only; no literature check,untested,low,,
Carcharhinidae,animal,Prionace glauca,1,Scyliorhinidae,stem @150,150,TimeTree node ages only; no literature check,untested,low,,
Viviparidae,animal,"Cipangopaludina chinensis, Viviparus viviparus",2,Ampullariidae + Littorinidae,crown,142,TimeTree node ages only; no literature check,untested,low,,
Hesperiidae,animal,Aegiale hesperiaris,1,Bombycidae + Saturniidae,stem @130,130,"Papilionoidea vs Bombycoidea; from memory, not verified here",low,low,,
Carcinidae,animal,Carcinus maenas,1,Portunidae + Cancridae,crown,128,TimeTree node ages only; no literature check,untested,low,,
Cheiragonidae,animal,Erimacrus isenbeckii,1,Cancridae + Portunidae,crown,128,TimeTree node ages only; no literature check,untested,low,,
Achatinidae,animal,"Lissachatina fulica, Archachatina marginata",2,Helicidae,stem @120,120,TimeTree node ages only; no literature check,untested,low,,
Leiognathidae,animal,Leiognathus equulus,1,Carangidae + Sparidae,crown,112,TimeTree node ages only; no literature check,untested,low,,
Gobiesocidae,animal,Sicyases sanguineus,1,Gobiidae + Carangidae,crown,112,TimeTree node ages only; no literature check,untested,low,,
