node,age_Ma,basis,source_expr,families_anchored_here,n_species,reviewer_suggested_age,reviewer_notes
Mucoromycota + Dikarya,700,"approximate, uncited","APPROX + "" (Mucoromycota stem; fungal timetree 2025 gives 701-1114 for the LCA)""","Rhizopodaceae, Mucoraceae",4,,
Saccharomycotina + Pezizomycotina,450,"approximate, uncited",APPROX,,0,,
Saccharomycotina,350,"approximate, uncited",APPROX),"Saccharomycetaceae, Pichiaceae, Debaryomycetaceae, Dipodascaceae",9,,
Pezizomycotina,400,"approximate, uncited",APPROX,,0,,
Pezizales,300,"approximate, uncited","APPROX + "" (literature 248-441)"")","Tuberaceae, Morchellaceae, Discinaceae, Pyronemataceae, Sarcoscyphaceae",13,,
Leotiomyceta,320,"approximate, uncited",APPROX,Cyttariaceae,1,,
Eurotiomycetes,150,"approximate, uncited",APPROX),"Aspergillaceae, Monascaceae",7,,
Sordariomycetes,250,"approximate, uncited",APPROX,Sordariaceae,2,,
Hypocreales,150,"approximate, uncited",APPROX),"Nectriaceae, Hypocreaceae, Cordycipitaceae, Ophiocordycipitaceae",4,,
Basidiomycota,452,cited: see backbone.py,STR21,Ustilaginaceae,1,,
Cnidaria,620,"approximate, uncited","APPROX + "" (Anthozoa vs Medusozoa; Park et al. 2012 give 741","Actiniidae, Rhizostomatidae, Stomolophidae",5,,
Ecdysozoa,580,"approximate, uncited",APPROX,,0,,
Arthropoda,550,"approximate, uncited","APPROX + "" (cf. Lozano-Fernandez et al. 2016)""",,0,,
Chelicerata,480,"approximate, uncited",APPROX,Limulidae,2,,
Arachnida,450,"approximate, uncited",APPROX),"Theraphosidae, Scorpionidae",2,,
Mandibulata,540,"approximate, uncited",APPROX,Scolopendridae,1,,
Pancrustacea,510,"approximate, uncited",APPROX,,0,,
Multicrustacea,500,"approximate, uncited",APPROX,,0,,
Cirripedia,300,"approximate, uncited",APPROX),"Balanidae, Pollicipedidae, Lepadidae",4,,
Malacostraca,430,"approximate, uncited",APPROX,Squillidae,3,,
Eumalacostraca,420,"approximate, uncited",APPROX,Mysidae,1,,
Eucarida,410,"approximate, uncited",APPROX,Euphausiidae,2,,
Decapoda,400,"approximate, uncited","APPROX + "" (cf. Wolfe et al. 2019)""",,0,,
Dendrobranchiata,250,"approximate, uncited",APPROX),"Penaeidae, Aristeidae, Solenoceridae, Sergestidae",17,,
Pleocyemata,380,"approximate, uncited",APPROX,,0,,
Caridea,280,"approximate, uncited",APPROX),"Palaemonidae, Pandalidae, Crangonidae",10,,
Reptantia,350,"approximate, uncited",APPROX,,0,,
Achelata,250,"approximate, uncited",APPROX),"Palinuridae, Scyllaridae",12,,
Astacidea,260,"approximate, uncited",APPROX),"Nephropidae, Astacidae, Cambaridae, Parastacidae",12,,
Meiura,300,"approximate, uncited",APPROX,,0,,
Anomura,250,"approximate, uncited",APPROX),"Lithodidae, Munididae",6,,
Brachyura,200,"approximate, uncited",APPROX,Raninidae,1,,
Eubrachyura,150,"approximate, uncited",APPROX),"Portunidae, Cancridae, Carcinidae, Polybiidae, Ovalipidae, Cheiragonidae, Majidae, Menippidae, Geryonidae, Oregoniidae, Varunidae, Gecarcinidae, Ucididae",25,,
Hexapoda,480,"approximate, uncited","APPROX + "" (cf. Misof et al. 2014)""",,0,,
Insecta,440,"approximate, uncited",APPROX,,0,,
Neoptera,380,"approximate, uncited",APPROX,,0,,
Polyneoptera,350,"approximate, uncited",APPROX,Termitidae,2,,
Orthoptera,300,"approximate, uncited",APPROX),"Gryllidae, Tettigoniidae, Acrididae, Pyrgomorphidae",8,,
Eumetabola,370,"approximate, uncited",APPROX,,0,,
Hemiptera,300,"approximate, uncited",APPROX,Cicadidae,2,,
Heteroptera,250,"approximate, uncited",APPROX),"Belostomatidae, Corixidae, Pentatomidae, Tessaratomidae",4,,
Holometabola,345,"approximate, uncited","APPROX + "" (cf. Misof et al. 2014)""",,0,,
Hymenoptera,280,"approximate, uncited","APPROX + "" (cf. Peters et al. 2017)""",,0,,
Aculeata,200,"approximate, uncited",APPROX,Vespidae,3,,
Apoidea + Formicoidea,180,"approximate, uncited",APPROX),"Apidae, Formicidae",8,,
Aparaglossata,330,"approximate, uncited",APPROX,,0,,
Coleoptera,300,"approximate, uncited",APPROX),"Tenebrionidae, Curculionidae, Scarabaeidae, Dytiscidae",9,,
Panorpida,300,"approximate, uncited",APPROX,,0,,
Diptera,240,"approximate, uncited",APPROX),"Stratiomyidae, Chaoboridae",2,,
Lepidoptera,250,"approximate, uncited","APPROX + "" (cf. Kawahara et al. 2019)""",Cossidae,2,,
Obtectomera,150,"approximate, uncited",APPROX,Hesperiidae,1,,
Bombycoidea,90,"approximate, uncited",APPROX),"Bombycidae, Saturniidae",5,,
Lophotrochozoa,564,cited: see backbone.py,STR21,Lingulidae,1,,
Annelida,520,"approximate, uncited",APPROX),"Eunicidae, Sipunculidae, Urechidae",3,,
Mollusca,534,cited: see backbone.py,STR21,Chitonidae,2,,
Conchifera,520,"approximate, uncited",APPROX,,0,,
Bivalvia,480,"approximate, uncited",APPROX,,0,,
Pteriomorphia,450,"approximate, uncited",APPROX),"Arcidae, Glycymerididae, Mytilidae, Ostreidae, Pectinidae, Pinnidae, Margaritidae",27,,
Heterodonta,400,"approximate, uncited",APPROX,,0,,
