dish,aliases,cuisine,species,notes
cheeseburger,hamburger; burger; beef burger; double cheeseburger; bacon cheeseburger,American,Bos taurus; Triticum aestivum; Saccharomyces cerevisiae; Sesamum indicum; Lactuca sativa; Solanum lycopersicum; Allium cepa; Cucumis sativus; Sinapis alba,
veggie burger,black bean burger; plant-based burger,American,Phaseolus vulgaris; Triticum aestivum; Saccharomyces cerevisiae; Lactuca sativa; Solanum lycopersicum; Allium cepa; Sinapis alba,
french fries,fries; frites; pommes frites,American,Solanum tuberosum,
hot dog,hot dogs; frankfurter; wiener,American,Sus scrofa; Bos taurus; Triticum aestivum; Saccharomyces cerevisiae; Sinapis alba; Allium cepa,
fried chicken,southern fried chicken; chicken tenders; chicken nuggets; chicken wings; buffalo wings,American,Gallus gallus; Triticum aestivum; Bos taurus; Piper nigrum; Capsicum annuum,
mac and cheese,macaroni and cheese; mac n cheese; mac & cheese,American,Triticum turgidum; Bos taurus; Triticum aestivum; Sinapis alba,
grilled cheese,grilled cheese sandwich; toastie; cheese toastie,American,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus,
blt,blt sandwich; bacon lettuce tomato,American,Sus scrofa; Lactuca sativa; Solanum lycopersicum; Triticum aestivum; Saccharomyces cerevisiae; Gallus gallus,
club sandwich,turkey club,American,Meleagris gallopavo; Sus scrofa; Lactuca sativa; Solanum lycopersicum; Triticum aestivum; Saccharomyces cerevisiae; Gallus gallus,
reuben,reuben sandwich,American,Bos taurus; Secale cereale; Triticum aestivum; Saccharomyces cerevisiae; Brassica oleracea; Sinapis alba,
philly cheesesteak,cheesesteak,American,Bos taurus; Triticum aestivum; Saccharomyces cerevisiae; Allium cepa,
pulled pork sandwich,pulled pork; bbq pork sandwich,American,Sus scrofa; Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Saccharum officinarum; Allium cepa; Allium sativum; Capsicum annuum,
bbq ribs,ribs; spare ribs; baby back ribs; barbecue ribs,American,Sus scrofa; Solanum lycopersicum; Saccharum officinarum; Capsicum annuum; Allium sativum; Allium cepa; Piper nigrum,
brisket,smoked brisket; texas brisket,American,Bos taurus; Piper nigrum,
meatloaf,,American,Bos taurus; Triticum aestivum; Gallus gallus; Allium cepa; Solanum lycopersicum,
pot roast,,American,Bos taurus; Daucus carota; Solanum tuberosum; Allium cepa; Apium graveolens; Thymus vulgaris,
chicken pot pie,pot pie,American,Gallus gallus; Triticum aestivum; Bos taurus; Daucus carota; Pisum sativum; Allium cepa; Apium graveolens,
clam chowder,new england clam chowder; chowder,American,Mercenaria mercenaria; Bos taurus; Solanum tuberosum; Allium cepa; Apium graveolens; Sus scrofa; Thymus vulgaris,
lobster roll,,American,Homarus americanus; Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Citrus limon; Apium graveolens,
crab cakes,crab cake; maryland crab cakes,American,Callinectes sapidus; Triticum aestivum; Gallus gallus; Sinapis alba; Petroselinum crispum,
shrimp and grits,,American,Penaeus vannamei; Zea mays; Bos taurus; Sus scrofa; Allium sativum; Citrus limon,
gumbo,seafood gumbo; chicken and sausage gumbo,Cajun,Gallus gallus; Sus scrofa; Penaeus vannamei; Triticum aestivum; Allium cepa; Apium graveolens; Capsicum annuum; Abelmoschus esculentus; Allium sativum; Oryza sativa; Thymus vulgaris; Laurus nobilis,
jambalaya,,Cajun,Oryza sativa; Gallus gallus; Sus scrofa; Penaeus vannamei; Allium cepa; Apium graveolens; Capsicum annuum; Solanum lycopersicum; Allium sativum; Thymus vulgaris,
po boy,po' boy; shrimp po boy; oyster po boy,Cajun,Penaeus vannamei; Triticum aestivum; Saccharomyces cerevisiae; Zea mays; Lactuca sativa; Solanum lycopersicum; Gallus gallus,
chili con carne,chili; texas chili; beef chili,American,Bos taurus; Phaseolus vulgaris; Solanum lycopersicum; Allium cepa; Allium sativum; Capsicum annuum; Cuminum cyminum; Lippia graveolens,
cornbread,corn bread,American,Zea mays; Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum,
biscuits and gravy,sausage gravy,American,Triticum aestivum; Bos taurus; Sus scrofa; Piper nigrum,
pancakes,pancake; buttermilk pancakes; flapjacks,American,Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum; Acer saccharum,
waffles,waffle; belgian waffle,American,Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum,
french toast,,American,Triticum aestivum; Saccharomyces cerevisiae; Gallus gallus; Bos taurus; Cinnamomum verum; Vanilla planifolia; Acer saccharum,
eggs benedict,,American,Gallus gallus; Sus scrofa; Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Citrus limon,
omelette,omelet; cheese omelette,French,Gallus gallus; Bos taurus; Allium schoenoprasum,
scrambled eggs,scrambled egg,American,Gallus gallus; Bos taurus,
oatmeal,porridge; oat porridge,American,Avena sativa; Bos taurus,
granola,muesli,American,Avena sativa; Apis mellifera; Prunus dulcis; Vitis vinifera; Helianthus annuus,
caesar salad,caesar; chicken caesar salad,American,Lactuca sativa; Bos taurus; Engraulis encrasicolus; Gallus gallus; Citrus limon; Allium sativum; Triticum aestivum; Olea europaea,
cobb salad,,American,Lactuca sativa; Gallus gallus; Sus scrofa; Persea americana; Solanum lycopersicum; Bos taurus; Penicillium roqueforti,
greek salad,horiatiki; village salad,Greek,Solanum lycopersicum; Cucumis sativus; Allium cepa; Olea europaea; Ovis aries; Origanum vulgare,
caprese salad,caprese; insalata caprese,Italian,Solanum lycopersicum; Bos taurus; Ocimum basilicum; Olea europaea,
coleslaw,slaw,American,Brassica oleracea; Daucus carota; Gallus gallus; Sinapis alba; Saccharum officinarum,
potato salad,,American,Solanum tuberosum; Gallus gallus; Sinapis alba; Allium cepa; Apium graveolens,
waldorf salad,,American,Malus domestica; Apium graveolens; Juglans regia; Vitis vinifera; Gallus gallus; Lactuca sativa,
garden salad,house salad; side salad; mixed green salad,American,Lactuca sativa; Solanum lycopersicum; Cucumis sativus; Daucus carota; Allium cepa; Olea europaea,
peanut butter and jelly,pb&j; pbj; peanut butter sandwich,American,Arachis hypogaea; Triticum aestivum; Saccharomyces cerevisiae; Vitis vinifera,
apple pie,,American,Malus domestica; Triticum aestivum; Bos taurus; Saccharum officinarum; Cinnamomum verum,
pumpkin pie,,American,Cucurbita moschata; Triticum aestivum; Bos taurus; Gallus gallus; Saccharum officinarum; Cinnamomum verum; Myristica fragrans; Zingiber officinale,
pecan pie,,American,Carya illinoinensis; Triticum aestivum; Bos taurus; Gallus gallus; Zea mays; Saccharum officinarum; Vanilla planifolia,
cheesecake,new york cheesecake,American,Bos taurus; Gallus gallus; Triticum aestivum; Saccharum officinarum; Vanilla planifolia,
brownies,brownie; chocolate brownies,American,Theobroma cacao; Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum,
