species,common_name,genus,family,clade,group
Saccharina japonica,kombu,Saccharina,Laminariaceae,brown,Brown algae
Saccharina latissima,sugar kelp,Saccharina,Laminariaceae,brown,Brown algae
Laminaria digitata,oarweed,Laminaria,Laminariaceae,brown,Brown algae
Laminaria hyperborea,tangle kelp,Laminaria,Laminariaceae,brown,Brown algae
Laminaria ochroleuca,golden kelp,Laminaria,Laminariaceae,brown,Brown algae
Undaria pinnatifida,wakame,Undaria,Alariaceae,brown,Brown algae
Alaria esculenta,winged kelp / dabberlocks,Alaria,Alariaceae,brown,Brown algae
Alaria marginata,ribbon kelp,Alaria,Alariaceae,brown,Brown algae
Ecklonia cava,kajime,Ecklonia,Lessoniaceae,brown,Brown algae
Ecklonia radiata,common kelp (Australia),Ecklonia,Lessoniaceae,brown,Brown algae
Eisenia bicyclis,arame,Eisenia,Lessoniaceae,brown,Brown algae
Macrocystis pyrifera,giant kelp,Macrocystis,Laminariaceae,brown,Brown algae
Nereocystis luetkeana,bull kelp,Nereocystis,Laminariaceae,brown,Brown algae
Postelsia palmaeformis,sea palm,Postelsia,Laminariaceae,brown,Brown algae
Lessonia nigrescens,huiro negro,Lessonia,Lessoniaceae,brown,Brown algae
Durvillaea antarctica,cochayuyo,Durvillaea,Durvillaeaceae,brown,Brown algae
Sargassum fusiforme,hijiki,Sargassum,Sargassaceae,brown,Brown algae
Sargassum horneri,akamoku,Sargassum,Sargassaceae,brown,Brown algae
Sargassum muticum,wireweed,Sargassum,Sargassaceae,brown,Brown algae
Ascophyllum nodosum,rockweed / knotted wrack,Ascophyllum,Fucaceae,brown,Brown algae
Fucus vesiculosus,bladderwrack,Fucus,Fucaceae,brown,Brown algae
Fucus serratus,serrated wrack,Fucus,Fucaceae,brown,Brown algae
Fucus spiralis,spiral wrack,Fucus,Fucaceae,brown,Brown algae
Himanthalia elongata,sea spaghetti,Himanthalia,Himanthaliaceae,brown,Brown algae
Cladosiphon okamuranus,mozuku,Cladosiphon,Chordariaceae,brown,Brown algae
Nemacystus decipiens,ito-mozuku,Nemacystus,Chordariaceae,brown,Brown algae
Petalonia binghamiae,seiyo-habanori,Petalonia,Scytosiphonaceae,brown,Brown algae
Analipus japonicus,matsumo,Analipus,Ralfsiaceae,brown,Brown algae
Chorda filum,sea lace,Chorda,Chordaceae,brown,Brown algae
Pyropia yezoensis,nori,Pyropia,Bangiaceae,red,Red algae
Pyropia tenera,asakusa nori,Pyropia,Bangiaceae,red,Red algae
Pyropia haitanensis,tan zicai,Pyropia,Bangiaceae,red,Red algae
Porphyra umbilicalis,laver,Porphyra,Bangiaceae,red,Red algae
Porphyra purpurea,purple laver,Porphyra,Bangiaceae,red,Red algae
Porphyra dioica,laver (Atlantic),Porphyra,Bangiaceae,red,Red algae
Bangia fuscopurpurea,bangia,Bangia,Bangiaceae,red,Red algae
Palmaria palmata,dulse,Palmaria,Palmariaceae,red,Red algae
Palmaria mollis,Pacific dulse,Palmaria,Palmariaceae,red,Red algae
Devaleraea mollis,red ribbon,Devaleraea,Palmariaceae,red,Red algae
Chondrus crispus,Irish moss,Chondrus,Gigartinaceae,red,Red algae
Mastocarpus stellatus,false Irish moss,Mastocarpus,Phyllophoraceae,red,Red algae
Gigartina skottsbergii,luga negra,Gigartina,Gigartinaceae,red,Red algae
Chondracanthus chamissoi,chicorea de mar,Chondracanthus,Gigartinaceae,red,Red algae
Gracilaria gracilis,ogo,Gracilaria,Gracilariaceae,red,Red algae
