id,common_name,species,lineage,clade,aliases
ginkgo-nut,ginkgo nut,Ginkgo biloba,Ginkgoaceae,plant,
mormon-tea,Mormon tea,Ephedra nevadensis,Ephedraceae,plant,
melinjo,melinjo (emping),Gnetum gnemon,Gnetaceae,plant,emping
eru,eru (okazi leaf),Gnetum africanum,Gnetaceae,plant,okazi leaf
sago-cycad,sago cycad (processed),Cycas revoluta,Cycadaceae,plant,
queen-sago,queen sago (processed),Cycas circinalis,Cycadaceae,plant,
coontie,coontie (Florida arrowroot),Zamia integrifolia,Zamiaceae,plant,Florida arrowroot
burrawang,burrawang (processed),Macrozamia communis,Zamiaceae,plant,
chamal,chamal (processed),Dioon edule,Zamiaceae,plant,
balsam-fir,balsam fir (tips),Abies balsamea,Pinaceae,plant,
white-spruce,white spruce (tips),Picea glauca,Pinaceae,plant,
norway-spruce,Norway spruce (tips),Picea abies,Pinaceae,plant,
chinese-white-pine,Chinese white pine (nut),Pinus armandii,Pinaceae,plant,
swiss-stone-pine,Swiss stone pine,Pinus cembra,Pinaceae,plant,
siberian-pine,Siberian pine (cedar nut),Pinus sibirica,Pinaceae,plant,cedar nut
korean-pine,Korean pine (pine nut),Pinus koraiensis,Pinaceae,plant,pine nut
chilgoza-pine,chilgoza pine,Pinus gerardiana,Pinaceae,plant,
colorado-pinyon,Colorado pinyon,Pinus edulis,Pinaceae,plant,
single-leaf-pinyon,single-leaf pinyon,Pinus monophylla,Pinaceae,plant,
stone-pine,stone pine (pine nut),Pinus pinea,Pinaceae,plant,pine nut;pignoli;pinoli
scots-pine,"Scots pine (inner bark, needles)",Pinus sylvestris,Pinaceae,plant,
tamarack,tamarack (inner bark),Larix laricina,Pinaceae,plant,
douglas-fir,Douglas fir (tips),Pseudotsuga menziesii,Pinaceae,plant,
chinese-torreya-nut,Chinese torreya nut,Torreya grandis,Taxaceae,plant,
kaya-nut,kaya nut,Torreya nucifera,Taxaceae,plant,
common-juniper,common juniper (berry),Juniperus communis,Cupressaceae,plant,berry;gin
bunya-pine,bunya pine,Araucaria bidwillii,Araucariaceae,plant,
monkey-puzzle,monkey puzzle (piñón),Araucaria araucana,Araucariaceae,plant,piñón
parana-pine,Paraná pine (pinhão),Araucaria angustifolia,Araucariaceae,plant,pinhão
kusamaki,kusamaki (fleshy receptacle),Podocarpus macrophyllus,Podocarpaceae,plant,
watershield,watershield (junsai),Brasenia schreberi,Cabombaceae,plant,junsai
yellow-water-lily,yellow water lily (seeds),Nuphar lutea,Nymphaeaceae,plant,
blue-water-lily,blue water lily (shapla),Nymphaea nouchali,Nymphaeaceae,plant,shapla
fox-nut,fox nut (makhana),Euryale ferox,Nymphaeaceae,plant,makhana
egyptian-white-water-lily,Egyptian white water lily,Nymphaea lotus,Nymphaeaceae,plant,
five-flavour-berry,five-flavour berry (omija),Schisandra chinensis,Schisandraceae,plant,omija
star-anise,star anise,Illicium verum,Schisandraceae,plant,
fish-mint,fish mint,Houttuynia cordata,Saururaceae,plant,
voatsiperifery,voatsiperifery,Piper borbonense,Piperaceae,plant,
ashanti-pepper,Ashanti pepper (uziza),Piper guineense,Piperaceae,plant,uziza
kava,kava,Piper methysticum,Piperaceae,plant,
betel-leaf,betel leaf,Piper betle,Piperaceae,plant,
wild-betel,wild betel (cha phlu),Piper sarmentosum,Piperaceae,plant,cha phlu
long-pepper,long pepper,Piper longum,Piperaceae,plant,
javanese-long-pepper,Javanese long pepper,Piper retrofractum,Piperaceae,plant,
black-pepper,black pepper,Piper nigrum,Piperaceae,plant,pepper;peppercorn;white pepper
cubeb,cubeb,Piper cubeba,Piperaceae,plant,
hoja-santa,hoja santa,Piper auritum,Piperaceae,plant,
shiny-bush,shiny bush (pansit-pansitan),Peperomia pellucida,Piperaceae,plant,pansit-pansitan
pepper-bark-tree,pepper-bark tree,Warburgia ugandensis,Canellaceae,plant,
wild-cinnamon,wild cinnamon,Canella winterana,Canellaceae,plant,
canelo,canelo,Drimys winteri,Winteraceae,plant,
tasmanian-pepperberry,Tasmanian pepperberry,Tasmannia lanceolata,Winteraceae,plant,
biriba,biribá,Annona mucosa,Annonaceae,plant,
custard-apple,custard apple,Annona reticulata,Annonaceae,plant,
cherimoya,cherimoya,Annona cherimola,Annonaceae,plant,
sugar-apple,sugar apple,Annona squamosa,Annonaceae,plant,
soursop,soursop,Annona muricata,Annonaceae,plant,
pawpaw,pawpaw,Asimina triloba,Annonaceae,plant,
calabash-nutmeg,calabash nutmeg (ehuru),Monodora myristica,Annonaceae,plant,ehuru
finger-root,finger root (bush banana),Uvaria chamae,Annonaceae,plant,bush banana
grains-of-selim,grains of Selim,Xylopia aethiopica,Annonaceae,plant,
southern-magnolia,southern magnolia (petals),Magnolia grandiflora,Magnoliaceae,plant,
papuan-nutmeg,Papuan nutmeg,Myristica argentea,Myristicaceae,plant,
nutmeg,nutmeg / mace,Myristica fragrans,Myristicaceae,plant,mace
southern-sassafras,southern sassafras,Atherosperma moschatum,Atherospermataceae,plant,
boldo,boldo,Peumus boldus,Monimiaceae,plant,
avocado,avocado,Persea americana,Lauraceae,plant,guacamole
chinene,chinene,Persea schiedeana,Lauraceae,plant,
spicebush,spicebush,Lindera benzoin,Lauraceae,plant,
bay-laurel,bay laurel,Laurus nobilis,Lauraceae,plant,bay
may-chang,may chang,Litsea cubeba,Lauraceae,plant,
sassafras,sassafras (filé),Sassafras albidum,Lauraceae,plant,filé
cassia,cassia,Cinnamomum cassia,Lauraceae,plant,
saigon-cinnamon,Saigon cinnamon,Cinnamomum loureiroi,Lauraceae,plant,
ceylon-cinnamon,Ceylon cinnamon,Cinnamomum verum,Lauraceae,plant,cassia
indonesian-cinnamon,Indonesian cinnamon,Cinnamomum burmannii,Lauraceae,plant,
tejpat,tejpat (Indian bay),Cinnamomum tamala,Lauraceae,plant,Indian bay
california-bay,California bay,Umbellularia californica,Lauraceae,plant,
sweet-flag,sweet flag,Acorus calamus,Acoraceae,plant,
taro,taro,Colocasia esculenta,Araceae,plant,poi;dasheen
giant-taro,giant taro,Alocasia macrorrhizos,Araceae,plant,
elephant-foot-yam,elephant foot yam,Amorphophallus paeoniifolius,Araceae,plant,
konjac,konjac,Amorphophallus konjac,Araceae,plant,
malanga,malanga (yautía),Xanthosoma sagittifolium,Araceae,plant,yautía
swamp-taro,swamp taro (pulaka),Cyrtosperma merkusii,Araceae,plant,pulaka
monstera-fruit,monstera fruit,Monstera deliciosa,Araceae,plant,
watermeal,watermeal (khai-nam),Wolffia globosa,Araceae,plant,khai-nam
arrowhead,arrowhead (cigu),Sagittaria sagittifolia,Alismataceae,plant,cigu
wapato,wapato,Sagittaria latifolia,Alismataceae,plant,
ottelia,ottelia,Ottelia alismoides,Hydrocharitaceae,plant,
waterblommetjie,waterblommetjie,Aponogeton distachyos,Aponogetonaceae,plant,
eelgrass,eelgrass (seeds),Zostera marina,Zosteraceae,plant,
karuka-nut,karuka nut,Pandanus julianettii,Pandanaceae,plant,
screwpine,screwpine (hala fruit),Pandanus tectorius,Pandanaceae,plant,hala fruit
red-fruit,red fruit (buah merah),Pandanus conoideus,Pandanaceae,plant,buah merah
pandan,pandan,Pandanus amaryllifolius,Pandanaceae,plant,
polynesian-arrowroot,Polynesian arrowroot,Tacca leontopetaloides,Dioscoreaceae,plant,
yellow-yam,yellow yam,Dioscorea cayenensis,Dioscoreaceae,plant,
white-guinea-yam,white Guinea yam,Dioscorea rotundata,Dioscoreaceae,plant,
air-potato,air potato,Dioscorea bulbifera,Dioscoreaceae,plant,
bitter-yam,bitter yam,Dioscorea dumetorum,Dioscoreaceae,plant,
cush-cush-yam,cush-cush yam,Dioscorea trifida,Dioscoreaceae,plant,
lesser-yam,lesser yam,Dioscorea esculenta,Dioscoreaceae,plant,
japanese-mountain-yam,Japanese mountain yam,Dioscorea japonica,Dioscoreaceae,plant,
chinese-yam,Chinese yam (nagaimo),Dioscorea polystachya,Dioscoreaceae,plant,nagaimo
greater-yam,greater yam (ube),Dioscorea alata,Dioscoreaceae,plant,ube
sarsaparilla,sarsaparilla,Smilax ornata,Smilacaceae,plant,
rough-bindweed,rough bindweed (shoots),Smilax aspera,Smilacaceae,plant,
china-root,China root,Smilax china,Smilacaceae,plant,
indian-cucumber-root,Indian cucumber-root,Medeola virginiana,Liliaceae,plant,
browns-lily,Brown's lily (bai he),Lilium brownii,Liliaceae,plant,bai he
davids-lily-bulb,David's lily bulb,Lilium davidii,Liliaceae,plant,
tiger-lily-bulb,tiger lily bulb,Lilium lancifolium,Liliaceae,plant,
northern-rice-root,northern rice-root,Fritillaria camschatcensis,Liliaceae,plant,
glacier-lily,glacier lily,Erythronium grandiflorum,Liliaceae,plant,
katakuri,katakuri,Erythronium japonicum,Liliaceae,plant,
sego-lily,sego lily,Calochortus nuttallii,Liliaceae,plant,
salsilla,salsilla,Bomarea edulis,Alstroemeriaceae,plant,
tie-pi-shi-hu,tie pi shi hu,Dendrobium officinale,Orchidaceae,plant,
tahitian-vanilla,Tahitian vanilla,Vanilla tahitensis,Orchidaceae,plant,
pompona-vanilla,pompona vanilla,Vanilla pompona,Orchidaceae,plant,
vanilla,vanilla,Vanilla planifolia,Orchidaceae,plant,
tianma,tianma,Gastrodia elata,Orchidaceae,plant,
chikanda-orchid,chikanda orchid (Disa),Disa robusta,Orchidaceae,plant,Disa
chikanda-orchid-2,chikanda orchid,Satyrium buchananii,Orchidaceae,plant,
early-purple-orchid,early purple orchid (salep),Orchis mascula,Orchidaceae,plant,salep
salep-orchid,salep orchid,Dactylorhiza romana,Orchidaceae,plant,
bath-asparagus,Bath asparagus,Ornithogalum pyrenaicum,Asparagaceae,plant,
asparagus,asparagus,Asparagus officinalis,Asparagaceae,plant,
wild-asparagus,wild asparagus,Asparagus acutifolius,Asparagaceae,plant,
shatavari,shatavari,Asparagus racemosus,Asparagaceae,plant,
false-solomons-seal,false Solomon's seal (shoots),Maianthemum racemosum,Asparagaceae,plant,
solomons-seal,Solomon's seal (shoots),Polygonatum odoratum,Asparagaceae,plant,
cabbage-tree,cabbage tree,Cordyline australis,Asparagaceae,plant,
ti,ti (root),Cordyline fruticosa,Asparagaceae,plant,
urui,urui,Hosta sieboldiana,Asparagaceae,plant,
izote,izote (flowers),Yucca gigantea,Asparagaceae,plant,
banana-yucca,banana yucca,Yucca baccata,Asparagaceae,plant,
blue-agave,blue agave,Agave tequilana,Asparagaceae,plant,
maguey-pulquero,maguey pulquero,Agave salmiana,Asparagaceae,plant,
century-plant,century plant (aguamiel),Agave americana,Asparagaceae,plant,aguamiel
espadin,espadín (mezcal),Agave angustifolia,Asparagaceae,plant,mezcal
great-camas,great camas,Camassia leichtlinii,Asparagaceae,plant,
camas,camas,Camassia quamash,Asparagaceae,plant,
safed-musli,safed musli,Chlorophytum borivilianum,Asparagaceae,plant,
lampascioni,lampascioni (tassel hyacinth),Leopoldia comosa,Asparagaceae,plant,tassel hyacinth
egyptian-walking-onion,Egyptian walking onion,Allium × proliferum,Amaryllidaceae,plant,
garlic,garlic,Allium sativum,Amaryllidaceae,plant,
wild-onion,wild onion,Allium canadense,Amaryllidaceae,plant,
french-grey-shallot,French grey shallot,Allium oschaninii,Amaryllidaceae,plant,
